document_id,text
741,indfor incom indo remi01101
742,indo gibl indiaforens stl01101
743,indfor incom indo remi02101
744,indo gibl indiaforens stl02101
745,fdrl intern fund transf
746,fdrl intern fund transf
747,indfor incom indo remi03101
748,indo gibl indiaforens stl03101
749,indfor incom indo remi04101
750,indo gibl indiaforens stl04101
751,indfor incom indo remi05101
752,indo gibl indiaforens stl05101
753,fdrl intern fund transf
754,indfor incom indo remi07101
755,indo gibl indiaforens stl07101
756,indfor incom indo remi06101
757,indo gibl indiaforens stl06101
758,fdrl intern fund transf
759,indfor incom indo remi08101
760,indo gibl indiaforens stl08101
761,fdrl intern fund transf
762,indfor incom indo remi09101
763,indo gibl indiaforens stl09101
764,fdrl intern fund transf
765,indfor incom indo remi10101
766,indo gibl indiaforens stl10101
767,fdrl intern fund transf
768,indfor incom indo remi11101
769,indo gibl indiaforens stl11101
770,fdrl intern fund transf
771,fdrl intern fund transf
772,indfor incom indo remi12101
773,indo gibl indiaforens stl12101
774,indfor incom indo remi13101
775,indo gibl indiaforens stl13101
776,indfor incom indo remi14101
777,indo gibl indiaforens stl14101
778,fdrl intern fund transf
779,indfor incom indo remi15101
780,indo gibl indiaforens stl15101
781,fdrl intern fund transf
782,fdrl intern fund transf
783,fdrl intern fund transf
784,fdrl intern fund transf
785,indfor incom indo remi16101
786,indo gibl indiaforens stl16101
787,fdrl intern fund transf
788,indfor incom indo remi17101
789,indo gibl indiaforens stl17101
790,indfor incom indo remi18101
791,indo gibl indiaforens stl18101
792,indfor incom indo remi19101
793,indo gibl indiaforens stl19101
794,indfor incom indo remi20101
795,indo gibl indiaforens stl20101
796,indfor incom indo remi21101
797,indo gibl indiaforens stl21101
798,fdrl intern fund transf
799,indfor incom indo remi22101
800,indo gibl indiaforens stl22101
801,fdrl intern fund transf
802,indfor incom indo remi23101
803,indo gibl indiaforens stl23101
804,fdrl intern fund transf
805,indfor incom indo remi24101
806,indo gibl indiaforens stl24101
807,indfor incom indo remi25101
808,indo gibl indiaforens stl25101
809,fdrl intern fund transf
810,fdrl intern fund transf
811,fdrl intern fund transf
812,indfor incom indo remi26101
813,indo gibl indiaforens stl26101
814,indfor incom indo remi27101
815,indo gibl indiaforens stl27101
816,indfor incom indo remi29101
817,indo gibl indiaforens stl29101
818,fdrl intern fund transf
819,fdrl intern fund transf
820,indfor incom indo remi30101
821,indo gibl indiaforens stl30101
822,fdrl intern fund transf
823,fdrl intern fund transf
824,indfor incom indo remi31101
825,indo gibl indiaforens stl31101
826,indfor incom indo remi01111
827,indo gibl indiaforens stl01111
828,indfor incom indo remi02111
829,indo gibl indiaforens stl02111
830,fdrl intern fund transf
831,indfor incom indo remi03111
832,indo gibl indiaforens stl03111
833,indfor incom indo remi04111
834,indo gibl indiaforens stl04111
835,fdrl intern fund transf
836,fdrl intern fund transf
837,indfor incom indo remi05111
838,indo gibl indiaforens stl05111
839,fdrl intern fund transf
840,fdrl intern fund transf
841,indfor incom indo remi06111
842,indo gibl indiaforens stl06111
843,indfor incom indo remi07111
844,indo gibl indiaforens stl07111
845,indfor incom indo remi08111
846,indo gibl indiaforens stl08111
847,fdrl intern fund transf
848,fdrl intern fund transf
849,fdrl intern fund transf
850,indfor incom indo remi09111
851,indo gibl indiaforens stl09111
852,indfor incom indo remi11111
853,indo gibl indiaforens stl11111
854,indfor incom indo remi10111
855,indo gibl indiaforens stl10111
856,fdrl intern fund transf
857,indfor incom indo remi12111
858,indo gibl indiaforens stl12111
859,fdrl intern fund transf
860,fdrl intern fund transf
861,fdrl intern fund transf
862,fdrl intern fund transf
863,indfor incom indo remi13111
864,indo gibl indiaforens stl13111
865,fdrl intern fund transf
866,indfor incom indo remi14111
867,indo gibl indiaforens stl14111
868,fdrl intern fund transf
869,indfor incom indo remi15111
870,indo gibl indiaforens stl15111
871,fdrl intern fund transf
872,fdrl intern fund transf
873,indfor incom indo remi16111
874,indo gibl indiaforens stl16111
875,fdrl intern fund transf
876,fdrl intern fund transf
877,indfor incom indo remi18111
878,indo gibl indiaforens stl18111
879,indfor incom indo remi17111
880,indo gibl indiaforens stl17111
881,fdrl intern fund transf
882,indfor incom indo remi19111
883,indo gibl indiaforens stl19111
884,fdrl intern fund transf
885,fdrl intern fund transf
886,indfor incom indo remi20111
887,indo gibl indiaforens stl20111
888,indfor incom indo remi21111
889,indo gibl indiaforens stl21111
890,fdrl intern fund transf
891,fdrl intern fund transf
892,fdrl intern fund transf
893,indfor incom indo remi25111
894,indo gibl indiaforens stl25111
895,indfor incom indo remi24111
896,indo gibl indiaforens stl24111
897,indfor incom indo remi23111
898,indo gibl indiaforens stl23111
899,indfor incom indo remi22111
900,indo gibl indiaforens stl22111
901,fdrl intern fund transf
902,indfor incom indo remi26111
903,indo gibl indiaforens stl26111
904,fdrl intern fund transf
905,fdrl intern fund transf
906,indfor incom indo remi27111
907,indo gibl indiaforens stl27111
908,fdrl intern fund transf
909,indfor incom indo remi28111
